Date,Time,TempC
5/24/2016,15:00:00,15.1
5/24/2016,16:00:00,15.23
5/24/2016,17:00:00,15.18
5/24/2016,18:00:00,15.06
5/24/2016,19:00:00,14.55
5/24/2016,20:00:00,14
5/24/2016,21:00:00,13.54
5/24/2016,22:00:00,13.04
5/24/2016,23:00:00,12.61
5/25/2016,0:00:00,12.27
5/25/2016,1:00:00,12.12
5/25/2016,2:00:00,12.13
5/25/2016,3:00:00,11.92
5/25/2016,4:00:00,11.89
5/25/2016,5:00:00,12.01
5/25/2016,6:00:00,12.18
5/25/2016,7:00:00,12.32
5/25/2016,8:00:00,12.46
5/25/2016,9:00:00,12.71
5/25/2016,10:00:00,12.96
5/25/2016,11:00:00,13.23
5/25/2016,12:00:00,13.76
5/25/2016,13:00:00,14.44
5/25/2016,14:00:00,14.96
5/25/2016,15:00:00,14.98
5/25/2016,16:00:00,14.97
5/25/2016,17:00:00,15.17
